depth,train_acc,test_acc
3,0.8929285714285714,0.8925714285714286
4,0.9822678571428571,0.9816428571428572
5,0.9928660714285714,0.9928214285714285
6,1.0,1.0
7,1.0,1.0
None,1.0,1.0
